iter	Passed	Remaining
0	147	146859
1	148	73930
2	150	49948
3	151	37702
4	155	30871
5	156	25875
6	156	22267
7	157	19561
8	159	17599
9	160	15911
10	161	14527
11	162	13369
12	163	12386
13	163	11548
14	164	10812
15	165	10170
16	166	9600
17	166	9100
18	167	8669
19	168	8260
20	169	7895
21	181	8072
22	182	7766
23	184	7514
24	185	7241
25	193	7263
26	195	7030
27	196	6836
28	198	6635
29	210	6822
30	211	6622
31	212	6429
32	213	6248
33	213	6076
34	214	5915
35	215	5770
36	216	5626
37	216	5489
38	217	5359
39	218	5240
40	219	5123
41	222	5084
42	225	5020
43	227	4945
44	228	4849
45	230	4776
46	231	4685
47	231	4600
48	232	4520
49	233	4440
50	234	4367
51	239	4359
52	240	4290
53	240	4221
54	241	4155
55	242	4091
56	243	4027
57	244	3966
58	245	3907
59	245	3850
60	246	3795
61	247	3742
62	248	3690
63	248	3640
64	249	3590
65	251	3555
66	252	3519
67	253	3474
68	254	3431
69	255	3388
70	255	3344
71	256	3303
72	256	3262
73	257	3224
74	258	3187
75	259	3153
76	260	3119
77	261	3087
78	262	3055
79	262	3022
80	263	2991
81	264	2960
82	264	2926
83	283	3090
84	285	3069
85	286	3044
86	287	3017
87	288	2988
88	289	2959
89	289	2931
90	290	2904
91	291	2877
92	292	2850
93	293	2824
94	293	2798
95	294	2773
96	295	2749
97	301	2778
98	302	2756
99	303	2734
100	304	2712
101	305	2689
102	306	2667
103	307	2647
104	308	2627
105	309	2609
106	310	2588
107	310	2567
108	311	2548
109	315	2551
110	317	2539
111	318	2529
112	319	2510
113	320	2491
114	321	2473
115	322	2455
116	322	2437
117	323	2420
118	324	2404
119	325	2387
120	328	2385
121	329	2370
122	330	2354
123	330	2338
124	331	2322
125	332	2307
126	333	2290
127	333	2274
128	334	2258
129	335	2243
130	335	2228
131	336	2213
132	337	2199
133	338	2184
134	338	2171
135	339	2157
136	340	2144
137	341	2131
138	343	2125
139	344	2118
140	345	2107
141	346	2093
142	347	2080
143	347	2067
144	348	2055
145	349	2042
146	349	2030
147	350	2019
148	351	2007
149	352	1996
150	352	1984
151	353	1974
152	354	1963
153	355	1952
154	356	1941
155	358	1942
156	359	1931
157	360	1921
158	361	1911
159	362	1901
160	362	1890
161	363	1880
162	364	1871
163	365	1861
164	365	1851
165	366	1841
166	367	1832
167	368	1823
168	368	1813
169	369	1803
170	370	1793
171	370	1784
172	371	1775
173	373	1773
174	374	1764
175	375	1756
176	375	1747
177	376	1739
178	377	1730
179	378	1722
180	378	1713
181	379	1705
182	380	1697
183	380	1689
184	381	1681
185	383	1676
186	383	1669
187	384	1661
188	385	1656
189	391	1668
190	392	1662
191	394	1659
192	395	1652
193	395	1644
194	396	1638
195	397	1631
196	398	1623
197	399	1616
198	399	1609
199	400	1603
200	402	1601
201	404	1597
202	405	1591
203	406	1584
204	406	1577
205	407	1571
206	408	1563
207	408	1557
208	409	1550
209	410	1543
210	411	1537
211	411	1530
212	412	1523
213	413	1517
214	413	1510
215	414	1504
216	415	1498
217	415	1492
218	417	1489
219	418	1483
220	419	1477
221	419	1471
222	420	1465
223	421	1459
224	422	1454
225	422	1448
226	423	1442
227	424	1437
228	425	1432
229	426	1426
230	426	1421
231	427	1415
232	428	1409
233	429	1404
234	429	1399
235	430	1394
236	433	1395
237	434	1390
238	435	1387
239	436	1383
240	437	1378
241	438	1374
242	439	1369
243	440	1364
244	441	1360
245	442	1356
246	443	1351
247	444	1346
248	444	1341
249	445	1336
250	448	1337
251	451	1339
252	452	1335
253	453	1333
254	455	1329
255	456	1325
256	457	1322
257	458	1318
258	459	1314
259	460	1310
260	463	1311
261	464	1308
262	467	1309
263	468	1305
264	469	1301
265	470	1297
266	470	1292
267	471	1288
268	472	1284
269	473	1280
270	474	1277
271	478	1280
272	480	1278
273	481	1275
274	482	1271
275	483	1267
276	484	1263
277	484	1258
278	485	1254
279	486	1250
280	487	1246
281	487	1242
282	488	1238
283	489	1234
284	492	1235
285	494	1235
286	495	1232
287	497	1229
288	498	1225
289	498	1221
290	499	1217
291	500	1213
292	501	1209
293	501	1205
294	502	1201
295	503	1196
296	503	1192
297	504	1188
298	505	1184
299	506	1182
300	508	1179
301	509	1176
302	510	1175
303	511	1171
304	512	1167
305	513	1163
306	513	1159
307	514	1155
308	515	1152
309	516	1148
310	516	1145
311	517	1141
312	518	1137
313	518	1133
314	519	1130
315	520	1126
316	521	1123
317	522	1120
318	524	1119
319	525	1116
320	526	1112
321	526	1109
322	527	1106
323	528	1102
324	529	1099
325	529	1095
326	530	1092
327	531	1088
328	531	1084
329	532	1081
330	533	1078
331	534	1075
332	534	1071
333	536	1070
334	537	1066
335	538	1063
336	538	1060
337	539	1056
338	540	1053
339	541	1050
340	541	1046
341	542	1043
342	543	1040
343	543	1037
344	544	1033
345	545	1030
346	545	1027
347	546	1024
348	547	1020
349	547	1017
350	548	1014
351	549	1011
352	550	1009
353	551	1006
354	552	1004
355	554	1002
356	554	999
357	555	996
358	556	994
359	557	991
360	558	988
361	558	985
362	559	982
363	560	979
364	561	976
365	561	973
366	562	970
367	563	967
368	564	965
369	567	965
370	568	963
371	569	961
372	570	958
373	571	956
374	572	953
375	573	951
376	573	948
377	574	945
378	575	943
379	576	940
380	577	937
381	578	935
382	579	932
383	579	929
384	580	927
385	582	925
386	583	923
387	583	921
388	584	918
389	585	915
390	586	912
391	586	910
392	587	907
393	588	904
394	589	902
395	589	899
396	590	896
397	591	894
398	592	892
399	593	889
400	593	886
401	595	885
402	597	885
403	598	883
404	599	880
405	600	877
406	600	875
407	601	872
408	602	870
409	602	867
410	603	864
411	604	862
412	604	859
413	605	857
414	606	854
415	607	852
416	607	849
417	608	847
418	609	844
419	610	843
420	611	841
421	612	838
422	613	836
423	613	833
424	614	831
425	615	829
426	615	826
427	616	824
428	617	821
429	617	819
430	618	816
431	619	814
432	619	811
433	620	809
434	621	807
435	622	804
436	623	802
437	623	800
438	626	800
439	627	798
440	630	798
441	636	803
442	638	802
443	644	807
444	645	805
445	646	802
446	647	800
447	648	798
448	648	796
449	650	794
450	651	792
451	651	790
452	652	787
453	653	785
454	653	783
455	654	780
456	666	791
457	666	789
458	667	786
459	668	784
460	669	782
461	670	780
462	670	777
463	674	779
464	676	778
465	677	776
466	678	774
467	678	771
468	679	769
469	681	767
470	681	765
471	684	765
472	708	789
473	710	788
474	712	787
475	713	785
476	714	783
477	715	780
478	715	778
479	716	776
480	717	774
481	718	772
482	720	770
483	721	768
484	721	766
485	722	764
486	724	763
487	725	761
488	726	759
489	727	756
490	727	754
491	728	752
492	729	750
493	730	747
494	731	745
495	731	743
496	732	741
497	733	739
498	734	737
499	735	735
500	736	733
501	737	731
502	737	729
503	738	727
504	739	724
505	740	722
506	741	720
507	741	718
508	742	716
509	743	714
510	744	712
511	744	709
512	745	707
513	746	705
514	747	703
515	748	701
516	749	699
517	750	698
518	751	696
519	751	694
520	752	692
521	753	690
522	754	687
523	755	685
524	755	683
525	756	681
526	757	679
527	758	677
528	758	675
529	759	673
530	760	671
531	761	669
532	761	667
533	763	665
534	765	665
535	766	663
536	767	661
537	768	659
538	768	657
539	769	655
540	770	653
541	771	651
542	772	649
543	773	648
544	774	646
545	775	644
546	775	642
547	776	640
548	778	639
549	779	637
550	780	635
551	781	634
552	782	632
553	782	630
554	783	628
555	784	626
556	785	624
557	786	622
558	786	620
559	787	618
560	788	616
561	789	614
562	789	613
563	790	611
564	791	609
565	797	611
566	798	609
567	799	607
568	800	606
569	801	604
570	802	603
571	803	601
572	804	599
573	805	597
574	805	595
575	806	593
576	807	591
577	808	590
578	809	588
579	810	586
580	810	584
581	811	582
582	812	581
583	813	579
584	813	577
585	814	575
586	815	573
587	816	571
588	816	569
589	817	568
590	818	566
591	819	564
592	819	562
593	820	560
594	821	559
595	823	558
596	824	556
597	825	554
598	827	553
599	827	551
600	828	550
601	829	548
602	830	546
603	831	545
604	832	543
605	833	541
606	833	539
607	834	538
608	835	536
609	836	534
610	838	533
611	840	532
612	841	531
613	842	529
614	843	527
615	843	525
616	844	524
617	845	522
618	845	520
619	846	518
620	847	517
621	848	515
622	848	513
623	849	511
624	850	510
625	851	508
626	851	506
627	853	505
628	854	504
629	855	502
630	856	500
631	857	499
632	857	497
633	858	495
634	859	494
635	860	492
636	861	490
637	861	489
638	862	487
639	863	485
640	863	483
641	864	482
642	865	480
643	866	479
644	871	479
645	872	478
646	874	477
647	875	475
648	876	474
649	877	472
650	878	470
651	879	469
652	887	471
653	888	469
654	889	468
655	889	466
656	890	465
657	891	463
658	892	461
659	893	460
660	894	458
661	895	457
662	896	455
663	896	453
664	898	452
665	899	451
666	900	449
667	901	447
668	902	446
669	902	444
670	903	443
671	904	441
672	905	439
673	905	438
674	906	436
675	907	434
676	908	433
677	908	431
678	909	429
679	910	428
680	910	426
681	911	425
682	913	423
683	914	422
684	916	421
685	917	419
686	918	418
687	918	416
688	919	415
689	920	413
690	921	411
691	922	410
692	923	408
693	923	407
694	924	405
695	925	404
696	926	402
697	926	401
698	928	399
699	929	398
700	930	396
701	930	395
702	931	393
703	932	392
704	933	390
705	934	388
706	934	387
707	935	385
708	936	384
709	937	382
710	938	381
711	939	379
712	940	378
713	940	376
714	941	375
715	945	375
716	947	373
717	948	372
718	949	370
719	949	369
720	950	367
721	951	366
722	951	364
723	952	363
724	953	361
725	953	360
726	954	358
727	955	356
728	956	355
729	956	353
730	958	352
731	960	351
732	961	350
733	962	348
734	963	347
735	963	345
736	964	344
737	965	342
738	966	341
739	967	339
740	967	338
741	968	336
742	969	335
743	970	333
744	971	332
745	971	330
746	973	329
747	974	328
748	976	327
749	977	325
750	978	324
751	978	322
752	979	321
753	980	319
754	981	318
755	982	317
756	983	315
757	984	314
758	985	313
759	986	311
760	989	310
761	990	309
762	994	309
763	996	307
